date,region,active_cases
2021-12-20,Northern Ireland,40957.03738217662
2021-12-20,Scotland,78455.37015862398
2021-12-20,South East,216489.40001335638
2021-12-20,South West,99980.35344336065
2021-12-20,Wales,65543.09217971012
2021-12-20,West Midlands,106019.24803138728
2021-12-20,Yorkshire and The Humber,89557.56840916263
2021-12-21,East Midlands,102153.32846308197
2021-12-21,East of England,149875.83049313427
2021-12-21,London,348442.95444823673
2021-12-21,North East,44150.39455828644
2021-12-21,North West,140965.08252442675
2021-12-21,Northern Ireland,41530.77242575021
2021-12-21,Scotland,81492.17952468536
2021-12-21,South East,224518.60900234364
2021-12-21,South West,101761.36290821855
2021-12-21,Wales,66052.62795502743
2021-12-21,West Midlands,108371.12166831578
2021-12-21,Yorkshire and The Humber,92667.3524099694
2021-12-22,East Midlands,105901.17580179422
2021-12-22,East of England,156413.9490372969
2021-12-22,London,383330.8468735197
2021-12-22,North East,44829.40958504254
2021-12-22,North West,148394.74488598507
2021-12-22,Northern Ireland,42343.47624840488
2021-12-22,Scotland,84654.80003796615
2021-12-22,South East,233260.3360881858
2021-12-22,South West,103829.36204323801
2021-12-22,Wales,66650.00300404913
2021-12-22,West Midlands,111296.1991479154
2021-12-22,Yorkshire and The Humber,96264.5574430128
